id,questionId,labelAr,labelEn,value
Q001-OPT1,Q001,لا أوافق بشدة,Strongly Disagree,1.0
Q001-OPT2,Q001,لا أوافق,Disagree,2.0
Q001-OPT3,Q001,محايد,Neutral,3.0
Q001-OPT4,Q001,أوافق,Agree,4.0
Q001-OPT5,Q001,أوافق بشدة,Strongly Agree,5.0
Q002-OPT1,Q002,إصلاح أو بناء الأشياء,Fixing or building things,3.0
Q002-OPT2,Q002,العمل في الحديقة أو الأنشطة الخارجية,Gardening or outdoor activities,2.0
Q002-OPT3,Q002,تجميع الأجهزة الإلكترونية,Assembling electronics,3.0
Q002-OPT4,Q002,غير متأكد,Not Sure,0.0
Q003-OPT1,Q003,لا أوافق بشدة,Strongly Disagree,1.0
Q003-OPT2,Q003,لا أوافق,Disagree,2.0
Q003-OPT3,Q003,محايد,Neutral,3.0
Q003-OPT4,Q003,أوافق,Agree,4.0
Q003-OPT5,Q003,أوافق بشدة,Strongly Agree,5.0
Q004-OPT1,Q004,لا أوافق بشدة,Strongly Disagree,1.0
Q004-OPT2,Q004,لا أوافق,Disagree,2.0
Q004-OPT3,Q004,محايد,Neutral,3.0
Q004-OPT4,Q004,أوافق,Agree,4.0
Q004-OPT5,Q004,أوافق بشدة,Strongly Agree,5.0
Q005-OPT1,Q005,العمل الميداني أو الورشة,Fieldwork or a workshop,3.0
Q005-OPT2,Q005,مكتب هادئ,A quiet office,1.0
Q005-OPT3,Q005,غير متأكد,Not Sure,0.0
Q006-OPT1,Q006,لا أوافق بشدة,Strongly Disagree,1.0
Q006-OPT2,Q006,لا أوافق,Disagree,2.0
Q006-OPT3,Q006,محايد,Neutral,3.0
Q006-OPT4,Q006,أوافق,Agree,4.0
Q006-OPT5,Q006,أوافق بشدة,Strongly Agree,5.0
Q007-OPT1,Q007,إجراء تجربة علمية,Conducting a science experiment,3.0
Q007-OPT2,Q007,حل الألغاز المنطقية,Solving logical puzzles,3.0
Q007-OPT3,Q007,قراءة مقال بحثي,Reading a research article,2.0
Q007-OPT4,Q007,غير متأكد,Not Sure,0.0
Q008-OPT1,Q008,لا أوافق بشدة,Strongly Disagree,1.0
Q008-OPT2,Q008,لا أوافق,Disagree,2.0
Q008-OPT3,Q008,محايد,Neutral,3.0
Q008-OPT4,Q008,أوافق,Agree,4.0
Q008-OPT5,Q008,أوافق بشدة,Strongly Agree,5.0
Q009-OPT1,Q009,لا أوافق بشدة,Strongly Disagree,1.0
Q009-OPT2,Q009,لا أوافق,Disagree,2.0
Q009-OPT3,Q009,محايد,Neutral,3.0
Q009-OPT4,Q009,أوافق,Agree,4.0
Q009-OPT5,Q009,أوافق بشدة,Strongly Agree,5.0
Q010-OPT1,Q010,مختبر أو مركز أبحاث,A lab or research center,3.0
Q010-OPT2,Q010,بيئة عمل تعتمد على الإجراءات الروتينية,An environment based on routine procedures,1.0
Q010-OPT3,Q010,غير متأكد,Not Sure,0.0
Q011-OPT1,Q011,لا أوافق بشدة,Strongly Disagree,1.0
Q011-OPT2,Q011,لا أوافق,Disagree,2.0
Q011-OPT3,Q011,محايد,Neutral,3.0
Q011-OPT4,Q011,أوافق,Agree,4.0
Q011-OPT5,Q011,أوافق بشدة,Strongly Agree,5.0
Q012-OPT1,Q012,تصميم شيء جديد,Designing something new,3.0
Q012-OPT2,Q012,تأليف قصة أو كتابة إبداعية,Writing a story or creative piece,3.0
Q012-OPT3,Q012,المشاركة في عرض فني أو مسرحي,Participating in an art or theater performance,2.0
Q012-OPT4,Q012,غير متأكد,Not Sure,0.0
Q013-OPT1,Q013,لا أوافق بشدة,Strongly Disagree,1.0
Q013-OPT2,Q013,لا أوافق,Disagree,2.0
Q013-OPT3,Q013,محايد,Neutral,3.0
Q013-OPT4,Q013,أوافق,Agree,4.0
Q013-OPT5,Q013,أوافق بشدة,Strongly Agree,5.0
Q014-OPT1,Q014,لا أوافق بشدة,Strongly Disagree,1.0
Q014-OPT2,Q014,لا أوافق,Disagree,2.0
